num,Last name,First name,SSN,Test1,Test2,Test3,Final,Grade
1,Alfalfa,Aloysius,123-45-6789,40,90,100,49,D-
2,Alfred, University,750-12-1234,41,97,96,48,D+
3,Gerty,Gramma,567-89-0123,41,80,60,44,C
4,Android,Electric,087-65-4321,42,23,36,47,B-
5,Bumpkin,Fred,456-78-9012,43,78,88,45,A-
6,Rubble,Betty,234-56-7890,44,90,80,46,C-
7,Noshow,Cecil,345-67-8901,45,11,-1,43,F
8,Buff,Bif,632-79-9939,46,20,30,50,B+
9,Airpump,Andrew,223-45-6789,49,1,90,83,A,
10,Backus,Jim,143-12-1234,48,1,97,97,A+
11,Carnivore,Art,565-89-0123,44,1,80,40,D+
12,Dandy,Jim,087-75-4321,47,1,23,45,C+
13,Elephant,Ima,456-71-9012,45,1,78,77,B-
14,Franklin,Benny,234-56-2890,50,1,90,90,B-
15,George,Boy,345-67-3901,40,1,11,4,B
16,Heffalump,Harvey,632-79-9439,30,1,20,40,C
